>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_262301382.1,97.727,88,2,0,2,89,77,164,1.85e-51,182,97.73
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_293527124.1,93.182,88,6,0,2,89,77,164,1.32e-49,177,96.59
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_153136993.1,87.500,88,11,0,2,89,77,164,1.10e-43,161,90.91
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_308238572.1,87.838,74,8,1,17,89,90,163,9.27e-38,145,95.95
>LH00406:11:22GHGVLT3:1:1101:7334:1144,MCI2082962.1,69.014,71,22,0,19,89,77,147,7.35e-27,114,83.10
>LH00406:11:22GHGVLT3:1:1101:7334:1144,MDR0602952.1,58.333,84,34,1,7,89,74,157,4.05e-26,110,73.81
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_288815595.1,62.791,86,27,2,9,89,75,160,1.37e-25,110,76.74
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_289731399.1,73.529,68,18,0,22,89,96,163,2.03e-25,110,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_301638292.1,68.116,69,22,0,21,89,88,156,2.13e-25,110,85.51
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_154535368.1,73.134,67,18,0,23,89,94,160,2.61e-25,109,80.60
>LH00406:11:22GHGVLT3:1:1101:7334:1144,MCI1732624.1,61.364,88,31,1,5,89,73,160,2.74e-25,109,71.59
>LH00406:11:22GHGVLT3:1:1101:7334:1144,MCH3993396.1,73.134,67,18,0,23,89,94,160,2.88e-25,109,80.60
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_172344821.1,72.059,68,19,0,22,89,93,160,6.20e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_225695138.1,72.059,68,19,0,22,89,93,160,6.70e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_303873147.1,72.059,68,19,0,22,89,93,160,6.70e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_215682789.1,72.059,68,19,0,22,89,93,160,6.90e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_231946707.1,72.059,68,19,0,22,89,93,160,7.10e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_055268638.1,72.059,68,19,0,22,89,93,160,7.24e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_270701040.1,72.059,68,19,0,22,89,93,160,7.32e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_286357538.1,69.565,69,21,0,21,89,93,161,7.93e-25,108,84.06
>LH00406:11:22GHGVLT3:1:1101:7334:1144,MDE6872238.1,72.059,68,19,0,22,89,93,160,8.38e-25,108,82.35
>LH00406:11:22GHGVLT3:1:1101:7334:1144,GHT19244.1,65.672,67,23,0,23,89,33,99,1.01e-24,108,85.07
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_019541040.1,65.672,67,23,0,23,89,88,154,1.02e-24,108,83.58
>LH00406:11:22GHGVLT3:1:1101:7334:1144,WP_286861653.1,66.667,66,22,0,24,89,89,154,2.42e-24,107,83.33
